id,name,parent_id,position,path,box_type_id,created_at,updated_at
1063,DREAM 5020,936,40,/ISEI/Sample storage building/Room A,11,2011-06-14 09:52:36.675235,2011-10-05 13:42:48.310341
1127,Missing,,77,"",9,2011-10-21 14:05:41.587217,2011-10-21 14:06:53.952504
1134,Hiroshi Kitagawa's office,135,61,/ISEI/Main building,9,2011-12-01 11:37:33.669056,2012-03-18 12:50:22.267817
1153,Meteorites 5,43,73,/ISEI/Main building/PML Clean Lab,11,2012-01-17 10:16:11.874983,2012-01-18 10:28:28.303437
1157,Li-reference standards,139,72,/ISEI/Main building/PML 1270 Lab,11,2012-01-27 09:31:05.161308,2012-06-12 14:27:57.349046
1161,Vacuum Desiccator,123,1,/ISEI/Main building/PML 5f Lab/Clean bench 5f,11,2012-02-06 09:49:53.606816,2012-12-28 09:46:21.533479
1207,A box,367,80,/ISEI/Main building/PML 5f Lab/DREAM 3000,11,2012-05-25 15:32:03.660088,2012-06-27 12:36:58.384192
1288,Space Environment,,83,"",,2012-12-28 19:08:41.416943,2012-12-28 19:25:02.430428
1310,Heaven on the Itokawa,1023,86,/ISEI/Main building/PML 1270 Lab/Hayabusa 1,11,2013-01-23 09:29:35.548991,2013-01-23 12:37:14.006131
1331,JAXA,,84,"",14,2013-02-14 18:44:18.479375,2013-02-14 23:28:46.81783
1332,Yachi's office,135,83,/ISEI/Main building,9,2013-02-15 01:01:04.078323,2013-02-15 09:56:54.192118
