id,attachment_file_id,attachable_id,attachable_type,position,created_at,updated_at
1471,8944,710,Stone,1,2008-12-15 21:21:44.942023,2011-01-28 18:49:40.835918
1472,8947,709,Stone,1,2008-12-15 21:21:45.186853,2011-01-28 18:49:40.825921
1473,8950,708,Stone,1,2008-12-15 21:21:45.457258,2011-01-28 18:49:40.810798
1474,8953,707,Stone,1,2008-12-15 21:21:45.697073,2011-01-28 18:49:40.800931
1475,8956,706,Stone,1,2008-12-15 21:21:45.909149,2011-01-28 18:49:40.7858
1476,8959,705,Stone,1,2008-12-15 21:21:46.168919,2011-01-28 18:49:40.77594
1477,8962,704,Stone,1,2008-12-15 21:21:46.418691,2011-01-28 18:49:40.760836
1478,8965,703,Stone,1,2008-12-15 21:21:46.663862,2011-01-28 18:49:40.735838
1479,8968,702,Stone,1,2008-12-15 21:21:46.853279,2011-01-28 18:49:40.750918
1480,8971,701,Stone,1,2008-12-15 21:21:47.109772,2011-01-28 18:49:40.725954
1481,8974,700,Stone,1,2008-12-15 21:21:47.368809,2011-01-28 18:49:40.710917
1482,8977,699,Stone,1,2008-12-15 21:21:47.595214,2011-01-28 18:49:40.700935
1483,8980,698,Stone,1,2008-12-15 21:21:47.830207,2011-01-28 18:50:57.380818
1484,8983,697,Stone,1,2008-12-15 21:21:47.931135,2011-01-28 18:50:57.366862
1485,8986,696,Stone,1,2008-12-15 21:21:47.999501,2011-01-28 18:50:57.355754
1486,8989,695,Stone,1,2008-12-15 21:21:48.104151,2011-01-28 18:50:57.341809
1487,8992,694,Stone,1,2008-12-15 21:21:48.171276,2011-01-28 18:50:57.330818
1488,8995,693,Stone,1,2008-12-15 21:21:48.248393,2011-01-28 18:50:56.158301
1489,8998,692,Stone,1,2008-12-15 21:21:48.407633,2011-01-28 18:50:57.316927
1490,9001,691,Stone,1,2008-12-15 21:21:48.485156,2011-01-28 18:50:57.305847
1491,9004,690,Stone,1,2008-12-15 21:21:48.586626,2011-01-28 18:50:57.291822
1492,9007,689,Stone,1,2008-12-15 21:21:48.65899,2011-01-28 18:50:57.280759
1493,9010,688,Stone,1,2008-12-15 21:21:48.75556,2011-01-28 18:50:57.266814
1494,9013,687,Stone,1,2008-12-15 21:21:48.8767,2011-01-28 18:50:57.255741
1495,9016,686,Stone,1,2008-12-15 21:21:48.971852,2011-01-28 18:50:57.24182
1496,9019,685,Stone,1,2008-12-15 21:21:49.063679,2011-01-28 18:50:57.455745
1497,9022,684,Stone,1,2008-12-15 21:21:49.166976,2011-01-28 18:50:40.504468
1498,9025,683,Stone,1,2008-12-15 21:21:49.453128,2011-01-28 18:49:40.685786
1499,9028,681,Stone,1,2008-12-15 21:21:49.695529,2011-01-28 18:49:40.67594
1500,9031,680,Stone,1,2008-12-15 21:21:49.957577,2011-01-28 18:49:40.660782
1501,9034,679,Stone,,2008-12-15 21:21:50.137966,2008-12-15 21:21:50.137966
1502,9034,678,Stone,,2008-12-15 21:21:50.257838,2008-12-15 21:21:50.257838
1503,9037,677,Stone,1,2008-12-15 21:21:50.436765,2011-01-28 18:50:57.130732
1504,9040,676,Stone,1,2008-12-15 21:21:50.527589,2011-01-28 18:50:56.589126
1505,9043,675,Stone,1,2008-12-15 21:21:50.599508,2011-01-28 18:50:56.575086
1506,9046,674,Stone,1,2008-12-15 21:21:50.692209,2011-01-28 18:50:56.47508
1507,9049,673,Stone,1,2008-12-15 21:21:50.766321,2011-01-28 18:50:56.463967
1508,9052,672,Stone,1,2008-12-15 21:21:50.899527,2011-01-28 18:50:56.31405
1509,9055,671,Stone,1,2008-12-15 21:21:50.995002,2011-01-28 18:50:57.105736
1510,9058,670,Stone,1,2008-12-15 21:21:51.06666,2011-01-28 18:50:57.091813
1511,9061,669,Stone,1,2008-12-15 21:21:51.136569,2011-01-28 18:50:57.008496
1512,9064,668,Stone,1,2008-12-15 21:21:51.235102,2011-01-28 18:50:56.99749
1513,9067,667,Stone,1,2008-12-15 21:21:51.309347,2011-01-28 18:50:56.98349
1514,9070,666,Stone,1,2008-12-15 21:21:51.497915,2011-01-28 18:50:56.972494
1515,9073,665,Stone,1,2008-12-15 21:21:51.602633,2011-01-28 18:50:56.958482
1516,9076,664,Stone,1,2008-12-15 21:21:51.676,2011-01-28 18:50:56.947479
1517,9079,663,Stone,1,2008-12-15 21:21:51.769172,2011-01-28 18:50:56.933492
1518,9082,662,Stone,1,2008-12-15 21:21:51.861,2011-01-28 18:50:56.650083
1519,9085,661,Stone,1,2008-12-15 21:21:51.929767,2011-01-28 18:50:56.638921
1520,9088,660,Stone,1,2008-12-15 21:21:52.066936,2011-01-28 18:50:56.625041
1521,9091,659,Stone,1,2008-12-15 21:21:52.154536,2011-01-28 18:50:56.613946
